id,active,property_id,user_id,title,description,
1,true,211,35,Steamboat Round the Bend,Multi-tiered zero defect infrastructure,
2,true,501,15,Delusions of Grandeur (La folie des grandeurs),Realigned didactic hub,
3,true,134,27,Damsels in Distress,Profit-focused local complexity,
4,true,331,28,Bad Boys II,Multi-lateral mobile analyzer,
5,true,419,27,Army of Shadows (L\'armée des ombres),Adaptive motivating function,
6,true,370,27,"New Kind of Love, A",Customer-focused coherent parallelism,
7,true,609,12,Valley Of Flowers,Reverse-engineered asynchronous hardware,
8,true,85,31,Human Planet,Configurable cohesive budgetary management,
9,true,159,11,Luke and Lucy: The Texas Rangers (Suske en Wiske: De Texas rakkers),Cross-platform solution-oriented open architecture,
10,true,302,36,"Yakuza, The",Object-based bandwidth-monitored website,
11,true,547,36,Cremaster 2,User-centric regional hardware,
12,true,6,39,African Cats,Multi-layered local budgetary management,
13,true,142,48,Lahore,Total heuristic flexibility,
14,true,684,18,Warrior,Cross-platform upward-trending capacity,
15,true,504,10,"Frighteners, The",Centralized asymmetric algorithm,
16,true,590,31,"Rink, The",Decentralized methodical local area network,
17,true,299,37,"Woman Under the Influence, A",Persistent mobile policy,
18,true,372,18,"Sacrament, The",Optimized motivating archive,
19,true,676,44,Comrade Pedersen (Gymnaslærer Pedersen),Devolved client-driven framework,
20,true,515,15,"Cove, The",Team-oriented systemic benchmark,
21,true,755,35,At Berkeley,Distributed 24 hour database,
22,true,831,33,Midnight Lace,Right-sized bandwidth-monitored approach,
23,true,896,18,Swoon,Synergistic user-facing local area network,
24,true,842,27,"Rumor of Angels, A",Reverse-engineered regional analyzer,
25,true,269,109,Underworld,Innovative 5th generation software,
26,true,202,29,Wimbledon,Optional needs-based policy,
27,true,57,26,Fireworks (Hana-bi),Re-engineered incremental knowledge base,
28,true,684,26,There\'s Only One Sun,Persistent didactic internet solution,
29,true,310,106,Unhook the Stars,Expanded actuating project,
30,true,274,106,"Edison, the Man",Fundamental interactive migration,
31,true,478,33,3-Iron (Bin-jip),Multi-lateral client-driven Graphical User Interface,
32,true,455,26,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l\'an 2000),Object-based zero defect portal,
33,true,827,39,Lost in America,Self-enabling bi-directional parallelism,
34,true,860,9,In God\'s Hands,Right-sized optimal open system,
35,true,31,107,Dead Awake,Enhanced demand-driven hierarchy,
36,true,121,38,Born to Defense (Zhong hua ying xiong),Stand-alone responsive data-warehouse,
37,true,125,17,Pure Country,Configurable 24 hour secured line,
38,true,16,48,"Pinochet Case, The (Cas Pinochet, Le)",Synergistic well-modulated ability,
39,true,131,11,Armour of God (Long xiong hu di),Programmable well-modulated toolset,
40,true,676,39,Chris Rock: Bigger & Blacker,De-engineered heuristic website,
41,true,552,28,Wings in the Dark,Assimilated dynamic circuit,
42,true,351,109,Welcome to Collinwood,Configurable stable hub,
43,true,36,33,Swamp Women,Vision-oriented 24/7 functionalities,
44,true,212,109,MR 73 (a.k.a. The Last Deadly Mission),Polarised asynchronous function,
45,true,186,27,Courier,Right-sized optimizing focus group,
46,true,80,107,Recipe for Love,Cloned scalable contingency,
47,true,123,35,Short Eyes,Balanced homogeneous open architecture,
48,true,76,38,"Promise, The (La promesse)",Integrated 5th generation workforce,
49,true,387,40,Rehearsals for Extinct Anatomies,Polarised system-worthy software,
50,true,396,13,"Unsaid, The",Sharable 6th generation benchmark,
51,true,136,27,"Black Sleep, The",Open-architected client-server hardware,
52,true,143,109,Raging Bull,Decentralized actuating data-warehouse,
53,true,500,105,"Real McCoy, The",Organized multi-tasking complexity,
54,true,460,28,Identity Thief,Seamless eco-centric functionalities,
55,true,27,9,Fear and Trembling (Stupeur et tremblements),Programmable interactive throughput,
56,true,381,28,Man to Man,Networked solution-oriented leverage,
57,true,374,13,"Hunting Party, The",Progressive tertiary interface,
58,true,207,13,In Passing,Exclusive even-keeled hierarchy,
59,true,201,39,Moonlight Serenade,Centralized 3rd generation methodology,
60,true,67,44,"Suddenly, Last Summer",Multi-channelled optimal pricing structure,
61,true,140,15,City of Ghosts,Function-based coherent array,
62,true,78,28,Mr. Nobody,Organized executive emulation,
63,true,332,11,"China Syndrome, The",Re-engineered 24 hour definition,
64,true,331,18,Feast II: Sloppy Seconds,Operative user-facing workforce,
65,true,670,107,Missile to the Moon,Switchable even-keeled structure,
66,true,7,37,"Killing of America, The",Pre-emptive systemic leverage,
67,true,449,13,Rapid Fire,Persevering modular function,
68,true,507,38,"Adventures of Ichabod and Mr. Toad, The",Triple-buffered actuating array,
69,true,344,11,Transformers: Age of Extinction,Multi-layered object-oriented leverage,
70,true,475,15,Fried Green Tomatoes,Vision-oriented well-modulated toolset,
71,true,662,36,Bambi 2,Self-enabling 3rd generation projection,
72,true,455,29,Cop Land,Realigned zero tolerance firmware,
73,true,159,31,Live Wire,Sharable well-modulated parallelism,
74,true,52,40,"Boy Who Could Fly, The",Centralized object-oriented encoding,
75,true,528,26,Underworld,Cross-platform 24 hour circuit,
76,true,106,28,Direct Contact,Future-proofed discrete synergy,
77,true,811,33,Set Me Free (Emporte-moi),Diverse intermediate throughput,
78,true,239,36,"House of the Devil, The",Up-sized 3rd generation software,
79,true,339,38,If....,Extended motivating knowledge base,
80,true,68,18,Meantime,Horizontal mission-critical info-mediaries,
81,true,844,32,Opening Night,Self-enabling motivating firmware,
82,true,826,37,"Long Ride Home, The",Function-based responsive hierarchy,
83,true,20,17,Die Hard,Customer-focused national groupware,
84,true,323,15,"Changeling, The",Polarised systemic focus group,
85,true,24,27,I Love You Phillip Morris,Realigned bandwidth-monitored core,
86,true,886,44,Chapter 27,Vision-oriented executive website,
87,true,691,46,Unstoppable,Open-architected reciprocal initiative,
88,true,152,40,Elevator ,Reverse-engineered dynamic monitoring,
89,true,113,46,Getaway,Innovative holistic data-warehouse,
90,true,164,35,Hana (Hana yori mo naho),Right-sized bottom-line system engine,
91,true,545,105,Jimi: All Is by My Side,Integrated upward-trending customer loyalty,
92,true,212,40,Diplomacy (Diplomatie),Operative human-resource interface,
93,true,536,28,Arnold,Adaptive static protocol,
94,true,86,43,Enigma,Total regional function,
95,true,659,12,"Babadook, The",Organic background instruction set,
96,true,132,33,Holy Rollers,Open-architected transitional project,
97,true,114,15,Fahrenheit 9/11,Public-key next generation system engine,
98,true,880,36,Big Eden,Persevering systemic capacity,
99,true,672,29,Fanatics (Kulman pojat),User-friendly multimedia artificial intelligence,
100,true,44,31,"Stepford Wives, The",Synergistic non-volatile neural-net,
101,true,507,11,Children of the Decree (Das Experiment 770 - Gebären auf Befehl),Polarised bottom-line functionalities,
102,true,507,107,"Champion, The",Ergonomic fresh-thinking Graphic Interface,
103,true,813,107,Talladega Nights: The Ballad of Ricky Bobby,Managed homogeneous application,
104,true,305,107,Nurse Betty,Organic empowering support,
105,true,336,46,Downhill Racer,Multi-layered non-volatile orchestration,
106,true,189,13,Twilight,Self-enabling fresh-thinking software,
107,true,857,35,Bey Yaar,Multi-lateral eco-centric contingency,
108,true,14,9,Painless (Insensibles) ,Reactive scalable analyzer,
109,true,656,18,More Wild Wild West,Sharable holistic hierarchy,
110,true,10,10,Time Walker (a.k.a. Being From Another Planet),Profound scalable parallelism,
111,true,874,32,Over the Top,Fully-configurable transitional Graphic Interface,
112,true,732,18,"Flying Deuces, The",Virtual tertiary software,
113,true,483,105,Let\'s Be Cops,Assimilated full-range info-mediaries,
114,true,13,28,Missing in Action 2: The Beginning,Automated intangible adapter,
115,true,579,15,"Hard Way, The",Managed systemic concept,
116,true,279,43,Advance to the Rear,Pre-emptive real-time strategy,
117,true,452,107,Fingers at the Window,Sharable cohesive standardization,
118,true,241,107,"Not on Your Life (Verdugo, El) (Executioner, The)",Multi-tiered transitional matrix,
119,true,604,13,Kill Bill: Vol. 2,Team-oriented next generation structure,
120,true,141,39,"Bounty, The",Multi-channelled high-level algorithm,
121,true,266,43,Vampires,Reverse-engineered heuristic time-frame,
122,true,515,11,Born into Brothels,Up-sized bandwidth-monitored local area network,
123,true,707,31,Ménilmontant,Stand-alone zero tolerance benchmark,
124,true,695,10,What Is It?,Progressive maximized paradigm,
125,true,740,28,Peacock,Customer-focused discrete middleware,
126,true,258,46,Galaxy Quest,Assimilated multimedia framework,
127,true,859,105,"Brass Teapot, The",Business-focused 3rd generation matrices,
128,true,451,37,K-911,Enterprise-wide logistical migration,
129,true,41,36,High Test Girls,Right-sized clear-thinking core,
130,true,829,27,Echoes of the Rainbow (Sui yuet san tau),Realigned cohesive functionalities,
131,true,91,15,Journey Into Fear,Versatile zero tolerance service-desk,
132,true,271,12,Big City Blues,Reverse-engineered value-added frame,
133,true,343,28,I Want to Be a Soldier,Distributed even-keeled firmware,
134,true,164,35,"Wayward Cloud, The (Tian bian yi duo yun)",Down-sized well-modulated infrastructure,
135,true,413,109,Ira and Abby,Cloned hybrid forecast,
136,true,225,44,Ossos,Digitized 5th generation support,
137,true,489,105,Masterminds,Organized didactic infrastructure,
138,true,330,29,Air America,Universal hybrid methodology,
139,true,621,32,"Rum Diary, The",Managed mission-critical database,
140,true,643,48,Cream Lemon (Kurîmu remon),Function-based dynamic data-warehouse,
141,true,232,26,Ben-Hur: A Tale of the Christ,Secured 6th generation framework,
142,true,209,12,Once Upon a Crime...,Expanded demand-driven moratorium,
143,true,284,106,Made in Hong Kong (Xiang Gang zhi zao),Synergized zero defect instruction set,
144,true,472,28,"Woman on the Beach, The",Public-key interactive monitoring,
145,true,380,43,Vesku from Finland (Vesku),Cross-platform human-resource time-frame,
146,true,476,43,"Lair of the White Worm, The",Exclusive system-worthy artificial intelligence,
147,true,59,15,Shanghai Knights,Digitized 3rd generation installation,
148,true,875,44,"Paradine Case, The",Configurable non-volatile complexity,
149,true,221,36,Kiss Me Goodbye,Persevering maximized open system,
150,true,173,35,My Favorite Martian,Re-engineered non-volatile productivity,
151,true,194,107,Podwórka,Balanced zero tolerance framework,
152,true,650,32,"Legend of Lizzie Borden, The",Persevering background artificial intelligence,
153,true,770,109,Christmas Evil (a.k.a. You Better Watch Out),Centralized maximized functionalities,
154,true,795,35,Luna de Avellaneda,Robust solution-oriented productivity,
155,true,647,38,Win Win,Adaptive impactful customer loyalty,
156,true,537,32,"Misérables, Les",Public-key incremental migration,
157,true,858,31,"Captain\'s Paradise, The",Triple-buffered mobile focus group,
158,true,368,43,Wadd: The Life & Times of John C. Holmes,Enhanced maximized algorithm,
159,true,517,13,Where East Is East,Synchronised coherent support,
160,true,284,18,Frozen Planet,Persistent responsive leverage,
161,true,648,109,Revengers Tragedy,Balanced client-driven paradigm,
162,true,283,29,Margot at the Wedding,Organic 4th generation benchmark,
163,true,39,106,International House,Grass-roots needs-based frame,
164,true,106,27,Murder Most Foul,Universal fresh-thinking ability,
165,true,789,13,They Call Me Trinity,Optimized content-based standardization,
166,true,239,46,Devil Times Five (a.k.a. Peopletoys),Intuitive executive hub,
167,true,435,109,"Greatest Movie Ever Sold, The (POM Wonderful Presents: The Greatest Movie Ever Sold)",Enhanced optimal budgetary management,
168,true,756,40,Downeast,Triple-buffered fresh-thinking array,
169,true,474,9,"Relic, The",Vision-oriented holistic moratorium,
170,true,769,32,12th & Delaware,Intuitive bi-directional neural-net,
171,true,581,11,Monsters,Advanced dedicated algorithm,
172,true,13,37,Sleeping with the Enemy,Fundamental regional groupware,
173,true,832,17,"Bunch Of Amateurs, A",Diverse content-based knowledge user,
174,true,549,35,Autumn Spring (Babí léto),Customizable even-keeled hierarchy,
175,true,451,35,"Best and the Brightest, The",Reverse-engineered needs-based solution,
176,true,42,43,Pelle Svanslös i Amerikatt,Streamlined grid-enabled methodology,
177,true,128,44,"Innocent, The (Innocente, L\')",Robust analyzing matrices,
178,true,305,29,"Day the Earth Stood Still, The",Intuitive local system engine,
179,true,592,28,Air Doll (Kûki ningyô),Multi-channelled incremental collaboration,
180,true,864,36,"Sentimental Swordsman, The (To ching chien ko wu ching chien)",Profit-focused optimizing database,
181,true,540,106,"Hucksters, The",Multi-tiered zero defect concept,
182,true,661,39,"Flying Fleet, The",Managed coherent implementation,
183,true,523,27,Sweet Hearts Dance,User-friendly neutral synergy,
184,true,580,107,East Meets West (Dung sing sai tsau 2011),Realigned static conglomeration,
185,true,840,28,The 11 Commandments,Organic systematic superstructure,
186,true,166,18,"Day of the Doctor, The",Virtual next generation throughput,
187,true,596,44,Torn Curtain,Multi-layered value-added intranet,
188,true,328,107,My Fellow Americans,Upgradable directional hub,
189,true,121,15,Krabat,Persevering static attitude,
190,true,492,13,Left Behind: World at War,Triple-buffered stable knowledge user,
191,true,548,32,Never Forever,Switchable solution-oriented flexibility,
192,true,498,33,Disturbing Behavior,Operative mission-critical frame,
193,true,72,27,Identity,Fully-configurable 3rd generation framework,
194,true,102,31,Animal Room,Polarised didactic extranet,
195,true,899,106,Linda Linda Linda,Ergonomic tangible neural-net,
196,true,392,36,"Wounds, The (Rane)",Horizontal global budgetary management,
197,true,8,107,The Mystery of the Leaping Fish,Advanced stable pricing structure,
198,true,459,33,Mother and Child,Ergonomic static collaboration,
199,true,110,43,Something Wild,Cross-platform systematic conglomeration,
200,true,884,28,Tekkonkinkreet (Tekkon kinkurîto),Pre-emptive context-sensitive superstructure,
201,true,484,37,Herb & Dorothy,Advanced national circuit,
202,true,74,28,Breathing Room,Face to face regional local area network,
203,true,420,13,"Comedy of Terrors, The",Triple-buffered background model,
204,true,766,15,Taste of Cherry (Ta\'m e guilass),Quality-focused homogeneous info-mediaries,
205,true,254,32,Tasting Menu,Reduced dedicated policy,
206,true,736,107,"Django, Kill... If You Live, Shoot! (Se sei vivo spara)",Stand-alone multimedia neural-net,
207,true,699,9,009 Re: Cyborg,Fully-configurable well-modulated Graphic Interface,
208,true,196,32,Shadow of Angels (Schatten der Engel),Adaptive global Graphic Interface,
209,true,333,36,"Bullfighters, The",Open-source solution-oriented moderator,
210,true,845,33,Pride and Glory,Fully-configurable needs-based groupware,
211,true,293,109,"Mummy, The",Fully-configurable leading edge project,
212,true,532,109,The Count of Monte Cristo,Extended optimal system engine,
213,true,435,33,Submarine X-1,Re-contextualized neutral open architecture,
214,true,338,18,Zombies of Mora Tau,Programmable multimedia utilisation,
215,true,785,9,Going Postal,Diverse executive info-mediaries,
216,true,790,107,Death and the Maiden,Open-source incremental leverage,
217,true,100,48,"Brave, The",Re-contextualized tangible local area network,
218,true,691,10,1991: The Year Punk Broke,Networked explicit alliance,
219,true,167,17,Cirque du Soleil: Dralion,Reactive human-resource capability,
220,true,401,105,Devil,Profit-focused full-range policy,
221,true,676,109,Trailer Park Boys: Live at the North Pole,Future-proofed stable budgetary management,
222,true,146,17,"Merchant of Venice, The",Persistent radical task-force,
223,true,899,13,Herb & Dorothy,Automated 4th generation middleware,
224,true,116,29,"New York Ripper, The (Squartatore di New York, Lo)",Ameliorated disintermediate matrices,
225,true,602,18,Ghost in the Machine (a.k.a. Deadly Terror),Multi-lateral dedicated benchmark,
226,true,878,35,Retrogade,Diverse content-based array,
227,true,84,29,Hush,Distributed local contingency,
228,true,228,29,Border Feud,Realigned intermediate firmware,
229,true,531,28,Cop and ½,Intuitive 4th generation encryption,
230,true,255,49,This Is Not a Film (In film nist),Future-proofed explicit moratorium,
231,true,575,29,Zelig,Implemented bandwidth-monitored hardware,
232,true,170,31,Typhoon (Tae-poong),Versatile regional challenge,
233,true,133,106,Man of the House,Customer-focused client-server forecast,
234,true,252,38,Pressure Point ,Multi-lateral composite implementation,
235,true,26,31,18 Fingers of Death!,Cross-group radical superstructure,
236,true,313,40,"Interrupters, The",Business-focused logistical encryption,
237,true,201,106,In Their Skin,Visionary asymmetric flexibility,
238,true,415,48,Mahogany,Enhanced mission-critical Graphic Interface,
239,true,504,10,Ethan Mao,User-centric radical strategy,
240,true,810,39,Michael,Proactive encompassing hardware,
241,true,120,37,Cirque du Soleil: Worlds Away,Open-architected impactful matrices,
242,true,706,109,Oscar and Lucinda (a.k.a. Oscar & Lucinda),Organic 24/7 array,
243,true,724,32,Don\'t Think About It (Non Pensarci),Seamless even-keeled artificial intelligence,
244,true,478,105,Buddy Buddy,Total mission-critical local area network,
245,true,731,37,"Bow, The (Hwal)",Versatile 6th generation frame,
246,true,23,33,"Banger Sisters, The",Virtual explicit alliance,
247,true,444,36,"Frozen North, The",Business-focused empowering website,
248,true,450,44,Peter Ibbetson,Stand-alone background knowledge user,
249,true,35,44,Only God Knows (Sólo Dios Sabe),Team-oriented modular frame,
250,true,286,35,Meth,Universal neutral hardware,
251,true,520,17,Jubilation Street,Persevering 24/7 attitude,
252,true,203,48,Love Exposure,Horizontal real-time product,
253,true,394,109,Stupid Boy (Garçon stupide),Reverse-engineered methodical website,
254,true,656,105,Once Bitten,Virtual systemic process improvement,
255,true,434,32,Candyman,Customizable multi-state functionalities,
256,true,204,31,Silverado,Self-enabling high-level interface,
257,true,55,10,Which Way Home,Front-line 5th generation secured line,
258,true,503,15,"Spy Next Door, The",Exclusive systematic strategy,
259,true,498,106,"Grandpa for Christmas, A (Bert & Becca)",Profound multi-tasking middleware,
260,true,28,17,The Derby Stallion,Monitored intangible methodology,
261,true,22,107,Twelve Angry Men,Extended scalable framework,
262,true,83,36,Dead Man\'s Walk,Assimilated cohesive monitoring,
263,true,606,29,"Golden Compass, The",Assimilated well-modulated knowledge base,
264,true,590,12,Goya: Crazy Like a Genius,Function-based exuding access,
265,true,172,37,Little Miss Broadway,Seamless actuating installation,
266,true,98,106,Zombieland,Fully-configurable bandwidth-monitored knowledge user,
267,true,347,12,Running Mates,User-centric 24/7 productivity,
268,true,458,9,Protocol,Compatible mobile productivity,
269,true,582,39,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak),Synergized eco-centric archive,
270,true,227,105,"It Is Written in the Stars, Inspector Palmu (Tähdet kertovat, komisario Palmu)",Object-based homogeneous product,
271,true,241,39,Monsignor,Object-based client-driven help-desk,
272,true,180,33,Beauty and the Beast (Beauty and the Beasts: A Dark Tale),Quality-focused mission-critical extranet,
273,true,303,33,Ramona and Beezus,Front-line homogeneous middleware,
274,true,293,48,10 Items or Less,Realigned 4th generation standardization,
275,true,467,48,"Woman\'s Face, A (En kvinnas ansikte) ",Self-enabling analyzing artificial intelligence,
276,true,124,106,"Palm Beach Story, The",Advanced uniform flexibility,
277,true,858,10,Volver,Open-architected optimal challenge,
278,true,869,15,Hangtime - Kein leichtes Spiel,Focused asymmetric framework,
279,true,889,17,Angel Eyes,Horizontal mobile hub,
280,true,11,44,Woman on the Beach (Haebyeonui yeoin),Cross-group demand-driven framework,
281,true,897,9,"Taste of Tea, The (Cha no aji)",Profit-focused cohesive methodology,
282,true,806,11,Jungleground,Inverse systematic paradigm,
283,true,620,109,Z.P.G.,Automated cohesive strategy,
284,true,633,46,We Are What We Are,Quality-focused discrete service-desk,
285,true,516,11,Captive (Cautiva) ,Fully-configurable clear-thinking frame,
286,true,414,109,Breakin\' All the Rules,Profit-focused multi-tasking workforce,
287,true,62,15,Brides of Dracula,Stand-alone optimizing database,
288,true,559,107,"Pig\'s Tale, A",Open-source mobile definition,
289,true,616,33,Snow White and the Huntsman,Robust motivating core,
290,true,111,12,Primrose Path,Customizable human-resource open system,
291,true,299,26,Camille Claudel 1915,Business-focused bifurcated artificial intelligence,
292,true,554,31,Snow Falling on Cedars,Total system-worthy conglomeration,
293,true,112,27,Once Upon a Time in the Midlands,Re-engineered holistic strategy,
294,true,155,11,Koi... Mil Gaya,Mandatory 24 hour support,
295,true,276,32,"Mighty, The",Public-key 6th generation array,
296,true,473,18,"Je, tu, il, elle (I, You, He, She)",Stand-alone clear-thinking extranet,
297,true,373,36,Restless (Levottomat),Re-engineered upward-trending service-desk,
298,true,20,17,Kill List,Total hybrid intranet,
299,true,485,18,"Best Man Holiday, The",Monitored national neural-net,
300,true,322,46,Quarantine,Total static middleware,
301,true,618,37,Body Shots,Stand-alone regional Graphical User Interface,
302,true,297,9,Rehearsals for Extinct Anatomies,Versatile heuristic emulation,
303,true,54,29,The Gang That Sold America,Expanded cohesive capability,
304,true,281,48,Twelve and Holding,Optional local data-warehouse,
305,true,652,40,Alexander the Great,Exclusive tangible knowledge user,
306,true,900,11,Mother and Child,Up-sized encompassing hierarchy,
307,true,628,31,11 Harrowhouse,Universal well-modulated alliance,
308,true,3,44,Battleground,Cross-group leading edge instruction set,
309,true,129,11,Montana,Polarised non-volatile model,
310,true,698,26,Leprechaun,Fully-configurable bottom-line approach,
311,true,520,18,Horns,Multi-layered 5th generation architecture,
312,true,89,33,"Cure, The",De-engineered non-volatile local area network,
313,true,451,106,Fanny,Virtual even-keeled groupware,
314,true,469,106,Late Bloomers,Adaptive dynamic software,
315,true,77,36,"Average Little Man, An (Un borghese piccolo piccolo)",Triple-buffered logistical core,
316,true,642,18,Assault on a Queen,Programmable coherent parallelism,
317,true,142,43,Universal Soldier: Regeneration,Networked intermediate customer loyalty,
318,true,782,48,Donnie Brasco,Profit-focused systemic implementation,
319,true,201,32,"Certain Kind Of Death, A",Customizable secondary emulation,
320,true,771,107,Birds of America,Re-engineered web-enabled array,
321,true,259,35,"Horse\'s Mouth, The",Inverse high-level leverage,
322,true,258,49,Down Argentine Way,Open-architected leading edge protocol,
323,true,584,12,Telling You,Profound discrete support,
324,true,339,35,Soapdish,Persevering background archive,
325,true,518,39,Latcho Drom,Multi-lateral full-range core,
326,true,215,36,Happy Feet,Intuitive mobile complexity,
327,true,894,17,"Three Musketeers, The",Devolved multi-state initiative,
328,true,360,29,"Wednesday!, A",Re-contextualized interactive attitude,
329,true,586,33,Beefcake,Re-engineered foreground policy,
330,true,294,44,"Boost, The",Quality-focused holistic task-force,
331,true,290,43,"Thin Man, The",Triple-buffered executive synergy,
332,true,880,46,Girl Most Likely,Upgradable leading edge time-frame,
333,true,487,11,White Dog,Decentralized fault-tolerant system engine,
334,true,417,9,Grave Secrets (Silent Screams),Virtual bifurcated frame,
335,true,407,105,Collision Earth,Adaptive real-time Graphic Interface,
